Position,Candidate,Party,Votes,% Vote Share,Valid Votes,constituency,Year
7,Muhammad Kaleem,PST,204,0.1,177607,NA-255,2013
8,Abdul Hafeez,IND,138,0.1,177607,NA-255,2013
9,Rucknuddin Taj,IND,134,0.1,177607,NA-255,2013
10,Mohammad Ayub Shan,IND,103,0.1,177607,NA-255,2013
11,Muhammad Sarwar Bin Pakistan,JPP,95,0.1,177607,NA-255,2013
1,Iqbal Muhammad Ali Khan,MQM,151788,59.3,251399,NA-256,2013
2,Muhammad Zubair Khan,PTI,69072,27.0,251399,NA-256,2013
3,Shah Muhammad Owais Noorani,Others,18732,7.3,251399,NA-256,2013
4,Syed Manzoor Abbas,PPPP,4347,1.7,251399,NA-256,2013
5,Muhammad Arshad Taqi,Others,3144,1.2,251399,NA-256,2013
6,Osama Razi,IND,1320,0.5,251399,NA-256,2013
7,Muhammad Younus Khan,ANP,856,0.3,251399,NA-256,2013
8,Syed Margoob Hussain Abidi,APML,594,0.2,251399,NA-256,2013
9,Rana Muhammad Ehsan,IND,473,0.2,251399,NA-256,2013
10,Mushtaq Ali,Others,410,0.2,251399,NA-256,2013
11,Rizwan Ali,PST,276,0.1,251399,NA-256,2013
12,Rana Safdar Ali Khan,IND,115,0.0,251399,NA-256,2013
13,Muhammad Younus Barai,IND,113,0.0,251399,NA-256,2013
14,Muhammad Salman Ansari,PFP-Falah,70,0.0,251399,NA-256,2013
15,Muhammad Khalid Khan Erashi,IND,45,0.0,251399,NA-256,2013
16,Faisal Ahmed Hashmi,IND,44,0.0,251399,NA-256,2013
1,Sajid Ahmed,MQM,125405,63.3,195113,NA-257,2013
2,Farooq Khan,IND,23508,11.9,195113,NA-257,2013
3,Naseem Khan,PPPP,13459,6.8,195113,NA-257,2013
4,Taufeequddin Siddiqui,Others,10410,5.3,195113,NA-257,2013
5,Zain Ansari,PML-N,9060,4.6,195113,NA-257,2013
6,Syed Hassan Jaffer Rizvi,IND,6257,3.2,195113,NA-257,2013
7,Shah Waliullah,IND,4349,2.2,195113,NA-257,2013
8,Ghanva Bhutto,PPP-SB,1224,0.6,195113,NA-257,2013
9,Syed Jamil Ur Rab,Others,451,0.2,195113,NA-257,2013
10,Imran Saif Khan Ghouri,IND,211,0.1,195113,NA-257,2013
11,Syed Zahid Abbas Naqvi,IND,211,0.1,195113,NA-257,2013
12,Muhammad Abbas Jafferi,IND,166,0.1,195113,NA-257,2013
13,Aman Masood,ANP,149,0.1,195113,NA-257,2013
14,Hakeem Saddat Ibrahim Siddqui,IND,98,0.0,195113,NA-257,2013
15,Akbar Dars,Others,66,0.0,195113,NA-257,2013
16,Altaf Hussain Patni,IND,33,0.0,195113,NA-257,2013
17,Arsalan Siddiqui,IND,32,0.0,195113,NA-257,2013
18,Aslam Shah,IND,24,0.0,195113,NA-257,2013
1,Abdul Hakeem Balouch,PML-N,52751,29.0,177806,NA-258,2013
2,Abdul Razzaq Raja,PPPP,36329,19.9,177806,NA-258,2013
3,Jam Abdul Karim Jokhio,IND,31099,17.1,177806,NA-258,2013
4,Ahmed Gabol,MQM,17854,9.8,177806,NA-258,2013
5,Qurban Ali,PTI,17697,9.7,177806,NA-258,2013
6,Muhammad Usman Yaar Khan,IND,6425,3.5,177806,NA-258,2013
7,Syed Shabbir Hussain Shah,IND,3065,1.7,177806,NA-258,2013
8,Syed Mohammad Ali Zaidi,IND,2068,1.1,177806,NA-258,2013
9,Abdul Razzaq Achakzai,PKMAP,2009,1.1,177806,NA-258,2013
10,Shah Nawaz,NP,1483,0.8,177806,NA-258,2013
11,Haleem Adil Shaikh,PML,937,0.5,177806,NA-258,2013
12,Saleem Ullah Khan Turk,IND,929,0.5,177806,NA-258,2013
13,Hussain Buksh Jokhio,IND,908,0.5,177806,NA-258,2013
14,Muhammad Suleman Brohi,IND,868,0.5,177806,NA-258,2013
15,Qadir Bux,IND,690,0.4,177806,NA-258,2013
16,Khursheed Ali,Others,555,0.3,177806,NA-258,2013
17,Sultan Khan Mandokhel,ANP,466,0.3,177806,NA-258,2013
18,Muhammad Ishaq,PPP-SB,323,0.2,177806,NA-258,2013
19,Aziz Ur Rehman,IND,311,0.2,177806,NA-258,2013
20,Abdul Monim,IND,264,0.1,177806,NA-258,2013
21,Bashir Ahmed Khaskheli,IND,254,0.1,177806,NA-258,2013
22,Muhammad Naveed Shahid,IND,159,0.1,177806,NA-258,2013
23,Malik Muhammad Taj,IND,97,0.1,177806,NA-258,2013
24,Muhammad Urs Khero,Others,64,0.0,177806,NA-258,2013
25,Jawaid Arsala Khan,IND,55,0.0,177806,NA-258,2013
26,Muhammad Jaffar Jatoi,Others,52,0.0,177806,NA-258,2013
27,Sardar Muhammad Iqbal Khan,Others,50,0.0,177806,NA-258,2013
28,Muhammad Sarwar Jokhio,IND,24,0.0,177806,NA-258,2013
29,Ghulam Murtaza Balouch,IND,20,0.0,177806,NA-258,2013
1,Mehmood Khan Achakzai,PKMAP,38552,35.0,107926,NA-259,2013
2,Muhammad Qasim Khan Suri,PTI,16007,14.5,107926,NA-259,2013
3,Abdul Kabeer Shahkir,Others,13512,12.3,107926,NA-259,2013
4,Ruquiya Saeed Hashmi,PML,9965,9.1,107926,NA-259,2013
5,Hamdullah,Others,7622,6.9,107926,NA-259,2013
6,Abdul Khaliq Hazara,HDP,5781,5.3,107926,NA-259,2013
7,Mir Maqbool Ahmed Lehri,PPPP,4737,4.3,107926,NA-259,2013
8,Mehmood Ul Hassan Qasmi,Others,3298,3.0,107926,NA-259,2013
9,Ghulam Hussain,MWMP,1322,1.2,107926,NA-259,2013
10,Syed Abdul Qayyum,ANP,889,0.8,107926,NA-259,2013
11,Ali Ahmed Kurd,IND,767,0.7,107926,NA-259,2013
12,Musa Jan Khilji,NP,737,0.7,107926,NA-259,2013
13,Mir Pasand Khan Langove,IND,722,0.7,107926,NA-259,2013
14,Sardar Atif Ali Sanjrani,IND,655,0.6,107926,NA-259,2013
15,Muhammad Qayyum Baluch,BNP-A,528,0.5,107926,NA-259,2013
16,Akhtar Muhammad,Others,483,0.4,107926,NA-259,2013
17,Muhammad Jumma Changazi,MQM,281,0.3,107926,NA-259,2013
18,Muhammad Ismail,Others,263,0.2,107926,NA-259,2013
19,Fatima Ibrahim,IND,256,0.2,107926,NA-259,2013
20,Nawabzada Talal Akbar Bughti,JWP,238,0.2,107926,NA-259,2013
21,Malik Jannat Gul Kakar,IND,212,0.2,107926,NA-259,2013
22,Bismillah Khan,IND,196,0.2,107926,NA-259,2013
23,Muhammad Mehdi,IND,135,0.1,107926,NA-259,2013
24,Muhammad Azeem,IND,117,0.1,107926,NA-259,2013
25,Nawab Imran Khan Khilji,AMLP,107,0.1,107926,NA-259,2013
26,Asghar Ali Gulzari,IND,106,0.1,107926,NA-259,2013
27,Syed Nizam Uddin Kurd,IND,96,0.1,107926,NA-259,2013
28,Mir Sahib Dad Mirwani,IND,72,0.1,107926,NA-259,2013
29,Muhammad Tahir Khan,IND,71,0.1,107926,NA-259,2013
30,Muhammad Ishaq Hazara,IND,56,0.1,107926,NA-259,2013
31,Sultan Muhammad Quresh,IND,54,0.0,107926,NA-259,2013
32,Mir Bahadur Khan Langove,IND,40,0.0,107926,NA-259,2013
33,Muhammad Ayaz Khan Swati,IND,35,0.0,107926,NA-259,2013
34,Syed Arif Hussain,IND,14,0.0,107926,NA-259,2013
1,Abdul Rahim Mandokhail,PKMAP,30338,17.2,169393,NA-260,2013
2,Manzoor Ahmed Mengal,Others,26019,14.7,169393,NA-260,2013
3,Agha Hassan Baloch,BNP,25104,14.2,169393,NA-260,2013
4,Sardar Al-Haaj Muhammad Umar Goragaje,PPPP,15857,9.0,169393,NA-260,2013
5,Muhammad Yousaf,NP,14441,8.2,169393,NA-260,2013
6,Fazal Muhammad Barech,Others,11003,6.2,169393,NA-260,2013
7,Irfan Aziz Kurd,PML-N,8692,4.9,169393,NA-260,2013
8,Karim Dad,PTI,7653,4.3,169393,NA-260,2013
9,Muhammad Hayat Muhammad Hassani,Others,7183,4.1,169393,NA-260,2013
10,Muhammad Raza,HDP,5271,3.0,169393,NA-260,2013
11,Sardar Aurang Zaib Rukhshani,IND,2745,1.6,169393,NA-260,2013
12,Atta Ur Rehman,IND,2524,1.4,169393,NA-260,2013
13,Gul Shah,IND,1879,1.1,169393,NA-260,2013
14,Samin Jan Zafar,IND,1521,0.9,169393,NA-260,2013
15,Muhammad Ibrahim,IND,1269,0.7,169393,NA-260,2013
16,Abdul Jabbar,IND,791,0.4,169393,NA-260,2013
17,Muhammad Arif,IND,710,0.4,169393,NA-260,2013
18,Hameedullah,IND,594,0.3,169393,NA-260,2013
19,Naik Muhammad Kakar,ANP,547,0.3,169393,NA-260,2013
20,Muhammad Yousaf Kharooti,IND,499,0.3,169393,NA-260,2013
21,Muhammad Wafa,IND,448,0.3,169393,NA-260,2013
22,Mukkaram Zehri,IND,418,0.2,169393,NA-260,2013
23,Abdul Kabir Kakar,IND,404,0.2,169393,NA-260,2013
24,Khadim Hussain,IND,390,0.2,169393,NA-260,2013
25,Abdullah,IND,371,0.2,169393,NA-260,2013
26,Muhammad Amir Shahwani,IND,298,0.2,169393,NA-260,2013
27,Ghulam Hussain,IND,292,0.2,169393,NA-260,2013
28,Talal Akbar Bugti,JWP,291,0.2,169393,NA-260,2013
29,Dilbar Khan,IND,289,0.2,169393,NA-260,2013
30,Pervaiz Iqbal,IND,276,0.2,169393,NA-260,2013
31,Dilawar Khan,IND,175,0.1,169393,NA-260,2013
32,Abdul Baqi,MQM,174,0.1,169393,NA-260,2013
33,Abdul Wahid Bazai,IND,160,0.1,169393,NA-260,2013
34,Pir Bakhsh,IND,156,0.1,169393,NA-260,2013
35,Ghulam Jalani Barech,IND,135,0.1,169393,NA-260,2013
36,Farid Ullah Bazai,APML,110,0.1,169393,NA-260,2013
37,Mir Zarak Khan Zehri,PML-Z,101,0.1,169393,NA-260,2013
38,Abdul Qadir,AMLP,93,0.1,169393,NA-260,2013
39,Sardar Attaullah Dahani,IND,89,0.1,169393,NA-260,2013
40,Muhammad Najeeb,IND,83,0.0,169393,NA-260,2013
1,Agha Muhammad,Others,48712,35.7,132402,NA-261,2013
2,Muhammad Essa Roshan,PKMAP,48188,35.4,132402,NA-261,2013
3,Malik Abdul Qayum  Kakar,Others,24679,18.1,132402,NA-261,2013
4,Nizamuddin Kakar,ANP,4274,3.1,132402,NA-261,2013
5,Nawab Khan Dumer,PTI,2920,2.1,132402,NA-261,2013
6,Muhammad Yousaf Kakar,PML-N,999,0.7,132402,NA-261,2013
7,Haytullah Khan,IND,878,0.6,132402,NA-261,2013
8,Abdul Wahab Barakzai,PPPP,440,0.3,132402,NA-261,2013
9,Mir Ahamad,IND,408,0.3,132402,NA-261,2013
10,Muhammad Khan Mehtarzai,IND,381,0.3,132402,NA-261,2013
11,Abdul Wahid Siddiqui,IND,102,0.1,132402,NA-261,2013
12,Muhammad Anwar Khan Tareen,MQM,98,0.1,132402,NA-261,2013
13,Naseer Ahmed Kakar,IND,96,0.1,132402,NA-261,2013
14,Syed Obaidullah,PML,70,0.1,132402,NA-261,2013
15,Sher Muhammad Dumar,IND,61,0.0,132402,NA-261,2013
16,Syed Fazal Muhammad Agha,IND,48,0.0,132402,NA-261,2013
17,Jan Muhammad Jan Kakar,IND,48,0.0,132402,NA-261,2013
1,Mehmood Khan Achakzai,PKMAP,37814,41.1,88963,NA-262,2013
2,Muhammad Sher Ali,Others,25254,27.4,88963,NA-262,2013
3,Salah-Uddin,Others,13793,15.0,88963,NA-262,2013
4,Nazar Muhammad Khan,PPPP,3435,3.7,88963,NA-262,2013
5,Abdul Jabbar Khan,ANP,3111,3.4,88963,NA-262,2013
6,Attaullah Khan,IND,1982,2.2,88963,NA-262,2013
7,Muhammad Usman,IND,884,1.0,88963,NA-262,2013
8,Abdul Ali Kakar,PML-N,798,0.9,88963,NA-262,2013
9,Muhammad Younas,IND,647,0.7,88963,NA-262,2013
10,Faisal Bari,PTI,382,0.4,88963,NA-262,2013
11,Abdul Rauff,IND,216,0.2,88963,NA-262,2013
12,Mirza Khan,Others,152,0.2,88963,NA-262,2013
13,Muhammad Naseem,IND,131,0.1,88963,NA-262,2013
14,Waris Khan,IND,114,0.1,88963,NA-262,2013
15,Abdul Wali,PML,89,0.1,88963,NA-262,2013
16,Abdul Malik,IND,81,0.1,88963,NA-262,2013
17,Juma Khan Duranni,IND,57,0.1,88963,NA-262,2013
18,Muhammad Sadiq,IND,14,0.0,88963,NA-262,2013
19,Muhammad Aslam,Others,9,0.0,88963,NA-262,2013
1,Ameer Zaman,Others,31031,27.4,105880,NA-263,2013
2,Sardar Muhammad Yaqoob Khan Nasir,PML-N,23374,20.7,105880,NA-263,2013
3,Sardar Mir Baz Muhammad Khan Khethran,PPPP,22147,19.6,105880,NA-263,2013
4,Akhtar Shah Kudezai,PKMAP,11042,9.8,105880,NA-263,2013
5,Sikandar Hayat Khan Jogezai,IND,3770,3.3,105880,NA-263,2013
6,Wadera Gulzar Khan,BNP,3601,3.2,105880,NA-263,2013
7,Muhammad Dawood Khan,PTI,3227,2.9,105880,NA-263,2013
8,Abdul Qadir Luni,Others,2920,2.6,105880,NA-263,2013
9,Bismillah Jan Luni,ANP,1095,1.0,105880,NA-263,2013
10,Sardar Masood Ali Khan Luni,PML,820,0.7,105880,NA-263,2013
11,Azeem Jan Tareen,IND,715,0.6,105880,NA-263,2013
12,Nisar Ahmed,IND,507,0.4,105880,NA-263,2013
13,Abdul Mateen Akhondzada,Others,367,0.3,105880,NA-263,2013
14,Mehmood Khan Uthmankhel,IND,305,0.3,105880,NA-263,2013
15,Mir Shah Jahan Khan Khetran,IND,274,0.2,105880,NA-263,2013
16,Agha Muhammad,IND,152,0.1,105880,NA-263,2013
17,Abdul Kareem Khetran,NP,144,0.1,105880,NA-263,2013
18,Shazia Shah Jehan Khetran,IND,131,0.1,105880,NA-263,2013
19,Sami Ullah Luni,QWP,91,0.1,105880,NA-263,2013
20,Sardar Khan,PPP-SB,68,0.1,105880,NA-263,2013
21,Dr. Qazi Muhammad Aslam,IND,61,0.1,105880,NA-263,2013
22,Mir Ibrar Khan Khetran,IND,38,0.0,105880,NA-263,2013
1,Mohammad Khan Sherani,Others,30870,31.2,92925,NA-264,2013
2,Asmatullah,Others,27514,27.8,92925,NA-264,2013
3,Raza Mohammad Raza,PKMAP,21839,22.1,92925,NA-264,2013
4,Nawabzada Mohamamd Amin Khan Jogezai,ANP,3143,3.2,92925,NA-264,2013
5,Jaffar Khan Mandokhel,PML,2824,2.9,92925,NA-264,2013
6,Mohammad Amin,IND,2524,2.6,92925,NA-264,2013
7,Akhtar Mohammad Mandokhel,PTI,1885,1.9,92925,NA-264,2013
8,Sheikh Abdul Sattar Mandokhel,PML-N,1470,1.5,92925,NA-264,2013
9,Naseeb Khan Nasar,IND,511,0.5,92925,NA-264,2013
10,Nazar Khan Kharoti,IND,345,0.3,92925,NA-264,2013
1,Mir Dostain Khan Domki,IND,22874,24.5,86334,NA-265,2013
2,Ahmed Jan Khan,PKMAP,12929,13.9,86334,NA-265,2013
3,Attaullah Khan Kalpar Bugti,IND,11135,11.9,86334,NA-265,2013
4,Mir Ahmadan Khan Bugti,PML,8246,8.8,86334,NA-265,2013
5,Mir Baz Muhammad Marri,Others,7402,7.9,86334,NA-265,2013
6,Nawabzada Jangaiz Khan Mari,PML-N,6668,7.2,86334,NA-265,2013
7,Babar Marghazani,PTI,6037,6.5,86334,NA-265,2013
8,Ahmed Jan,PPPP,1942,2.1,86334,NA-265,2013
9,Mir Ali Mardan Khan Domki,IND,1787,1.9,86334,NA-265,2013
10,Malik Dad Muhammad Tareen,ANP,1441,1.5,86334,NA-265,2013
11,Dad Muhammad,Others,1185,1.3,86334,NA-265,2013
12,Mir Muhammad Khan Chandio,BNP-A,1127,1.2,86334,NA-265,2013
13,Syed Iqbal Shah,PFP-Falah,932,1.0,86334,NA-265,2013
14,Yar Muhammad Bangulzai,NP,817,0.9,86334,NA-265,2013
15,Nawabzada Guaram Khan Bugti,IND,460,0.5,86334,NA-265,2013
16,Nawabzada Talal Akbar Bughti,JWP,313,0.3,86334,NA-265,2013
17,Mir Ali Murad Khan Bugti,IND,283,0.3,86334,NA-265,2013
18,Maehrullah Khan,Others,218,0.2,86334,NA-265,2013
19,Mira Jan,IND,178,0.2,86334,NA-265,2013
20,Mir Sanaullah Khan Murghazani,MQM,154,0.2,86334,NA-265,2013
21,Muhammad Ramzan,BNP,89,0.1,86334,NA-265,2013
22,Mir Gul Khan Marri,IND,86,0.1,86334,NA-265,2013
23,Mir Liaqat Ali Khan,IND,31,0.0,86334,NA-265,2013
1,Mir Zafarullah Khan Jamali,IND,41604,25.7,136345,NA-266,2013
2,Mir Saleem Ahmed Khosa,IND,35743,22.1,136345,NA-266,2013
3,Mir Changez Khan Jamali,PPPP,17404,10.7,136345,NA-266,2013
4,Mir Abdul Maajid Abro,JQM,10039,6.2,136345,NA-266,2013
5,Sardarzada Mir Bajjar Chakar Domki,IND,8408,5.2,136345,NA-266,2013
6,Mohammad Abdullah Jatak,Others,7852,4.8,136345,NA-266,2013
7,Dr. Abdul Hayee Baloch,NP,3875,2.4,136345,NA-266,2013
8,Mir Abdul Ghafoor Mengal,BNP,2685,1.7,136345,NA-266,2013
9,Farooq Jamali,IND,1063,0.7,136345,NA-266,2013
10,Noor Ahmed Umrani,BNP-A,1038,0.6,136345,NA-266,2013
11,Mir Maqbool Ahmed Khosa,Others,1026,0.6,136345,NA-266,2013
12,Basheer Ahmed Mandai,Others,778,0.5,136345,NA-266,2013
13,Comrade Fareed Umrani,IND,592,0.4,136345,NA-266,2013
14,Comrade Zahoor Ahmed Khosa,PPP-SB,567,0.4,136345,NA-266,2013
15,Nawabzada Shazain Bugti,JWP,400,0.2,136345,NA-266,2013
16,Muhammad Salah Umrani,IND,378,0.2,136345,NA-266,2013
17,Shehbaz Khan Umrani,MQM,377,0.2,136345,NA-266,2013
18,Mir Izhar Hussain Khosa,IND,347,0.2,136345,NA-266,2013
19,Mir Sikandar Ali,IND,242,0.1,136345,NA-266,2013
20,Basheer Ahmed,IND,221,0.1,136345,NA-266,2013
21,Dr. Azizullah Satakzai,IND,215,0.1,136345,NA-266,2013
22,Muhammad Hanif Khan Khosa,IND,193,0.1,136345,NA-266,2013
23,Muhammad Anwar,IND,177,0.1,136345,NA-266,2013
24,Shoukat Ali Lehri,PST,168,0.1,136345,NA-266,2013
25,Muhammad Bakhsh Mengal,PKMAP,152,0.1,136345,NA-266,2013
26,Mohammad Nawaz Katoher,Others,133,0.1,136345,NA-266,2013
27,Mohammad Hayat Qadri,SIC,124,0.1,136345,NA-266,2013
28,Abdul Fatah Abro,IND,117,0.1,136345,NA-266,2013
29,Nawabzada Guaram Khan Bugti,IND,103,0.1,136345,NA-266,2013
30,Maqsood Ali Domki,MWMP,101,0.1,136345,NA-266,2013
31,Mohammad Waris Abro,IND,82,0.1,136345,NA-266,2013
32,Rustam Khan Norani,IND,52,0.0,136345,NA-266,2013
33,Ghulam Haider Jakhrani,IND,47,0.0,136345,NA-266,2013
34,Naseer Ahmed Khosa,IND,42,0.0,136345,NA-266,2013
1,Khalid Hussain Magsi,IND,42240,46.6,88280,NA-267,2013
2,Abdul Raheem Rind,IND,38915,42.9,88280,NA-267,2013
3,Amir Aziz Kurd,PML-N,2272,2.5,88280,NA-267,2013
4,Mangey Khan Rahija,Others,1012,1.1,88280,NA-267,2013
5,Abdul Sattar,NP,995,1.1,88280,NA-267,2013
6,Sardarzada Changaz Khan Kurd,IND,991,1.1,88280,NA-267,2013
7,Mir Abdul Maajid Abro,JQM,429,0.5,88280,NA-267,2013
8,Mir Amir Khan Rind,IND,354,0.4,88280,NA-267,2013
9,Muhammad Umar Abroo,IND,158,0.2,88280,NA-267,2013
10,Dr. Abdul Razaque Lashari,MQM,146,0.2,88280,NA-267,2013
11,Sardar Muhammad Wazeer,SIC,145,0.2,88280,NA-267,2013
12,Pir Bux Jamot,PPPP,124,0.1,88280,NA-267,2013
13,Mir Mohammad Azam Sumalani,PTI,95,0.1,88280,NA-267,2013
14,Noor Muhammad Shahwani,BNP,76,0.1,88280,NA-267,2013
15,Mir Mujeeb Rahman Shahwani,BNP-A,75,0.1,88280,NA-267,2013
16,Muhammad Saif Lashari,IND,51,0.1,88280,NA-267,2013
17,Mir Zulfiqar Ali Talpur,IND,40,0.0,88280,NA-267,2013
18,Irfan Aziz Kurd,IND,36,0.0,88280,NA-267,2013
19,Syed Hayder Nawaz Shah,IND,36,0.0,88280,NA-267,2013
20,Mir Abdul Malik,IND,34,0.0,88280,NA-267,2013
21,Mir Mitha Khan,IND,29,0.0,88280,NA-267,2013
22,Mir Farooq Aziz,IND,27,0.0,88280,NA-267,2013
1,Sardar Kamal Khan Bangulzai,NP,19873,31.0,61826,NA-268,2013
2,Abdul Ghafoor Haideri,Others,10717,16.7,61826,NA-268,2013
3,Malik Naveed Dehwar,BNP,8782,13.7,61826,NA-268,2013
4,Sardarzada Mir Saeed Ahmed,Others,7918,12.4,61826,NA-268,2013
5,Sardar Sanaullah Zehri,PML-N,6724,10.5,61826,NA-268,2013
6,Muhammad Iqbal,IND,2733,4.3,61826,NA-268,2013
7,Mir Ali Akbar,BNP-A,2580,4.0,61826,NA-268,2013
8,Malik Muhammad Faisal Dehwar,PTI,575,0.9,61826,NA-268,2013
9,Abdul Rehman,PST,467,0.7,61826,NA-268,2013
10,Ayatullah Durrani,PPPP,374,0.6,61826,NA-268,2013
11,Mir Pervaiz Hameed Lehri,IND,348,0.5,61826,NA-268,2013
12,Muhammad Younus,Others,252,0.4,61826,NA-268,2013
13,Mir Muhammad Asim Kurd Galu,IND,244,0.4,61826,NA-268,2013
14,Gul Muhammad,JWP,95,0.1,61826,NA-268,2013
15,Meer Ahmed,IND,83,0.1,61826,NA-268,2013
16,Mir Muhammad Raheem Alizai,IND,32,0.0,61826,NA-268,2013
17,Ghulam Farooq Shahwani,MQM,29,0.0,61826,NA-268,2013
18,Ameer Nawabzada Yadqar Raisani,IND,0,0.0,61826,NA-268,2013
1,Qamar Ud Din,Others,26028,34.3,72261,NA-269,2013
2,Mir Abdul Rauf Mengal,BNP,25970,34.2,72261,NA-269,2013
3,Sardar Sanaullah Zehri,PML-N,15338,20.2,72261,NA-269,2013
4,Atta Ur Rehman Mengal,IND,1636,2.2,72261,NA-269,2013
5,Muhammad Qasim,Others,1045,1.4,72261,NA-269,2013
6,Agha Shakeel Ahmed Durani,IND,852,1.1,72261,NA-269,2013
7,Mir Imam Bakhsh Zahri,PPPP,577,0.8,72261,NA-269,2013
8,Mir Muhammad Ibrahim Zehri,IND,256,0.3,72261,NA-269,2013
9,Muhammad Ameen,IND,221,0.3,72261,NA-269,2013
10,Muhammad Khan Zehri,IND,186,0.2,72261,NA-269,2013
11,Amir Bakhsh Mengal,IND,103,0.1,72261,NA-269,2013
12,Mir Muhammad Aslam Gurgnari,IND,49,0.1,72261,NA-269,2013
1,Jam Kamal Khan,IND,56658,54.2,99860,NA-270,2013
2,Ghulam Akbar Lasi,PPPP,35142,33.6,99860,NA-270,2013
3,Mohammad Qasim Roonjho,BNP,3593,3.4,99860,NA-270,2013
4,Ghulam Qadir Qasmi,Others,2838,2.7,99860,NA-270,2013
5,Raees Nawaz Ali Burfat,PTI,1320,1.3,99860,NA-270,2013
6,Shah Wali,JWP,231,0.2,99860,NA-270,2013
7,Mohammad Illyas Gabool,PST,78,0.1,99860,NA-270,2013
8,Mir Abdul Qudoos Bezanjo,IND,0,0.0,99860,NA-270,2013
9,Dad Mohammad,IND,0,0.0,99860,NA-270,2013
10,Ghulam Mustafa Malik,IND,0,0.0,99860,NA-270,2013
1,Abdul Qadir Baloch,PML-N,7388,23.2,30438,NA-271,2013
2,Ahsan Ullah Raki,PPPP,6170,19.4,30438,NA-271,2013
3,Jahanzaib Baloch,BNP,3637,11.4,30438,NA-271,2013
4,Abdul Khaliq Baloch,NP,3467,10.9,30438,NA-271,2013
5,Muhammad Azam Baloch,Others,2655,8.3,30438,NA-271,2013
6,Muhammad Hanif Baloch,BNP-A,2371,7.5,30438,NA-271,2013
7,Munir Ahmed,IND,2257,7.1,30438,NA-271,2013
8,Shabaz Khan,IND,1473,4.6,30438,NA-271,2013
9,Jameel Ahmed,IND,521,1.6,30438,NA-271,2013
10,Mir Shoaib Nosharwani,IND,244,0.8,30438,NA-271,2013
11,Dr. Sardar Muhammad Hussain,IND,192,0.6,30438,NA-271,2013
12,Jalil Zahid,IND,63,0.2,30438,NA-271,2013
1,Syed Essa Nori,BNP,15835,36.8,41881,NA-272,2013
2,Muhammad Yasin Baloch,NP,15316,35.6,41881,NA-272,2013
3,Abdul Rauf Rind,BNP-A,5147,12.0,41881,NA-272,2013
4,Abdul Hameed,Others,2973,6.9,41881,NA-272,2013
5,Gulab Baloch,Others,1108,2.6,41881,NA-272,2013
6,Zubada Jalal,PML-N,942,2.2,41881,NA-272,2013
7,Babu Gulab,IND,296,0.7,41881,NA-272,2013
8,Nazimuddin,IND,148,0.3,41881,NA-272,2013
9,Barkat Ali,IND,83,0.2,41881,NA-272,2013
10,Adam,IND,26,0.1,41881,NA-272,2013
11,Attaullah,IND,7,0.0,41881,NA-272,2013
1,Moulana Abdul Akbar Chitrali,MMA,48616,30.59,158925,NA-1,2018
2,Abdul Latif,PTI,38481,24.21,158925,NA-1,2018
3,Saleem Khan,PPPP,32635,20.53,158925,NA-1,2018
4,Iftikhar Ud Din,PML-N,21016,13.22,158925,NA-1,2018
5,Muhammad Amjad,APML,6755,4.25,158925,NA-1,2018
6,Eid Ul Hussain,ANP,3613,2.27,158925,NA-1,2018
7,Saeed ur Rehman,Others,3223,2.03,158925,NA-1,2018
8,Shahzada Muhammad Taimur Khisrao,IND,2414,1.52,158925,NA-1,2018
9,Nisar Dastageer,IND,793,0.5,158925,NA-1,2018
10,Muhammad Yahya,IND,698,0.44,158925,NA-1,2018
11,Taqdira Ajmal,IND,681,0.43,158925,NA-1,2018
1,Ibadullah Khan,PML-N,34070,27.55,123670,NA-10,2018
2,Sadeed ur Rahman,ANP,32665,26.41,123670,NA-10,2018
3,Waqar Ahmad Khan,PTI,27832,22.51,123670,NA-10,2018
4,Amir Sultan,MMA,20800,16.82,123670,NA-10,2018
5,Hamid Iqbal Khan,PPPP,5642,4.56,123670,NA-10,2018
6,Bakht Nasib Khan,Others,1200,0.97,123670,NA-10,2018
7,Praviz Ahmad,IND,1093,0.88,123670,NA-10,2018
8,Said Fareen,IND,247,0.2,123670,NA-10,2018
9,Safeer Khan,IND,121,0.1,123670,NA-10,2018
1,QAISER AHMED SHEIKH,PML-N,76415,35.3,216487,NA-100,2018
2,ZULFIQAR ALI SHAH,PTI,75559,34.9,216487,NA-100,2018
3,SYED INAYAT ALI SHAH,PPPP,40542,18.73,216487,NA-100,2018
4,MUHAMMAD USMAN,TLP,6593,3.05,216487,NA-100,2018
5,SHEIKH KAISER MEHMOOD,IND,5954,2.75,216487,NA-100,2018
6,NOREEN BASIT,IND,3723,1.72,216487,NA-100,2018
7,SHAHBAZ ALI HUSSAINI,Others,2126,0.98,216487,NA-100,2018
8,MUHAMMAD IMRAN,IND,1735,0.8,216487,NA-100,2018
9,MUHAMMAD NAWAZ,Others,1445,0.67,216487,NA-100,2018
10,UMAR DRAZ,IND,1208,0.56,216487,NA-100,2018
11,ARSHAD AHMAD,MMA,455,0.21,216487,NA-100,2018
12,ARSHAD ABBAS SHAH,JWP,379,0.18,216487,NA-100,2018
13,MUHAMMAD ALI SHAH,Others,353,0.16,216487,NA-100,2018
1,Muhammad Asim Nazir,IND,147812,56.67,260844,NA-101,2018
2,Zafar Zulqarnain Sahi,PTI,86575,33.19,260844,NA-101,2018
